City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
Bubaque,GW,78.75,81,100,1.54,11.2833,-15.8333,1626131101
Hermanus,ZA,46.8,66,100,27.0,-34.4187,19.2345,1626131104
Samarinda,ID,73.44,98,98,1.83,-0.5,117.15,1626131104
Airai,TL,58.35,54,13,3.65,-8.9266,125.4092,1626131104
Sitka,US,57.09,88,90,8.05,57.0531,-135.33,1626131105
Jamestown,US,76.84,94,40,1.99,42.097,-79.2353,1626130823
Forsytheganj,BY,67.33,93,100,1.48,52.6333,29.7333,1626131105
Mataura,NZ,42.46,91,84,2.06,-46.1927,168.8643,1626131105
Vaini,TO,77.16,94,90,9.22,-21.2,-175.2,1626131106
Tuktoyaktuk,CA,55.51,56,96,2.53,69.4541,-133.0374,1626131106
Avarua,CK,80.65,69,20,12.66,-21.2078,-159.775,1626131106
Atuona,PF,77.29,77,15,22.19,-9.8,-139.0333,1626131107
Arraial do Cabo,BR,70.27,81,0,9.51,-22.9661,-42.0278,1626131107
Arrifes,PT,64.65,82,20,8.05,37.7667,-25.7,1626131107
Wajid,SO,72.81,76,30,21.85,3.8093,43.2471,1626131108
Punta Arenas,CL,35.71,87,20,34.52,-53.15,-70.9167,1626131108
Rikitea,PF,73.85,74,1,11.72,-23.1203,-134.9692,1626131108
Port Alfred,ZA,53.13,79,75,29.01,-33.5906,26.891,1626131109
Bosaso,SO,93.24,38,100,22.48,11.2842,49.1816,1626131110
Katsuura,JP,80.19,88,100,7.38,35.1333,140.3,1626131110
Yining,CN,80.58,81,92,3.47,29.0361,114.5636,1626131110
Mayo,US,92.25,71,1,3.0,38.8876,-76.5119,1626131110
‘Āhuimanu,US,87.51,61,90,11.5,21.4447,-157.8378,1626131111
Leningradskiy,RU,48.13,77,50,11.9,69.3833,178.4167,1626131111
Nioro,GM,79.07,80,100,8.81,13.35,-15.75,1626131111
Barrow,US,48.22,72,40,19.57,71.2906,-156.7887,1626131112
Ushuaia,AR,35.26,80,75,13.8,-54.8,-68.3,1626131110
Poum,NC,70.2,73,23,4.61,-20.2333,164.0167,1626131112
La Ronge,CA,66.42,77,75,10.36,55.1001,-105.2842,1626131113
Bambous Virieux,MU,67.21,65,39,16.35,-20.3428,57.7575,1626131113
Plácido de Castro,BR,80.91,44,13,1.3,-10.3353,-67.1856,1626131113
Klaksvík,FO,50.92,92,80,1.1,62.2266,-6.589,1626131114
Acajutla,SV,84.06,71,83,3.8,13.5928,-89.8275,1626131115
Dingle,PH,79.48,89,100,3.0,10.9995,122.6711,1626131116
Acapulco de Juárez,MX,85.03,69,78,8.21,16.8634,-99.8901,1626130961
Bathsheba,BB,83.01,74,40,18.41,13.2167,-59.5167,1626131116
New Norfolk,AU,52.88,78,67,1.99,-42.7826,147.0587,1626131116
Hornepayne,CA,82.94,39,6,8.88,49.2138,-84.7705,1626131117
Chicama,PE,64.94,80,100,8.5,-7.8447,-79.1469,1626131117
Busselton,AU,54.05,78,32,21.43,-33.65,115.3333,1626131117
Cidreira,BR,60.46,88,100,9.62,-30.1811,-50.2056,1626131118
Esperance,AU,59.9,67,35,25.66,-33.8667,121.9,1626131118
Provideniya,RU,46.51,81,0,11.18,64.3833,-173.3,1626131118
Vardø,NO,52.21,87,100,16.13,70.3705,31.1107,1626130989
Pingzhuang,CN,70.59,97,100,15.12,42.0372,119.2889,1626131119
Souillac,MU,67.35,75,33,17.45,-20.5167,57.5167,1626131119
Pimentel,PE,68.29,77,40,16.11,-6.8367,-79.9342,1626131119
Ketchikan,US,63.07,67,90,10.36,55.3422,-131.6461,1626131120
Norman Wells,CA,79.48,24,10,6.24,65.282,-126.8329,1626131121
Grand Gaube,MU,67.37,70,1,5.01,-20.0064,57.6608,1626131121
Andros Town,BS,84.16,75,94,20.98,24.7,-77.7667,1626131121
Vao,NC,67.6,66,100,14.03,-22.6667,167.4833,1626131121
Görlitz,DE,67.95,80,9,3.69,51.1552,14.9885,1626131122
Kavieng,PG,83.82,73,53,16.22,-2.5744,150.7967,1626131122
Aromashevo,RU,50.95,87,93,15.19,56.8602,68.6375,1626131123
Upernavik,GL,42.53,69,0,3.11,72.7868,-56.1549,1626131123
Mar del Plata,AR,53.87,74,100,1.99,-38.0023,-57.5575,1626131111
San Felipe,VE,74.17,95,85,3.91,10.3399,-68.7425,1626131123
Deputatsky,RU,46.06,80,100,4.05,69.3,139.9,1626131125
Kapaa,US,86.32,74,40,3.0,22.0752,-159.319,1626131126
Angoche,MZ,70.05,86,0,4.36,-16.2325,39.9086,1626131126
Egvekinot,RU,56.71,66,72,6.13,66.3167,-179.1667,1626131127
Darhan,MN,60.17,84,97,6.2,49.4867,105.9228,1626131127
San Quintín,MX,71.91,67,100,7.87,30.4833,-115.95,1626131127
Castro,BR,54.77,71,63,1.54,-24.7911,-50.0119,1626131128
Cape Town,ZA,50.11,68,94,5.99,-33.9258,18.4232,1626131128
Pokhara,NP,71.37,89,86,2.71,28.2333,83.9833,1626131128
Bluff,NZ,45.64,77,70,7.2,-46.6,168.3333,1626131128
Bambanglipuro,ID,54.61,91,52,4.81,-7.95,110.2833,1626131129
Khatanga,RU,45.63,57,100,5.86,71.9667,102.5,1626131129
Snezhnogorsk,RU,58.78,94,100,13.13,69.1933,33.2531,1626131129
San Cristobal,VE,75.38,72,30,4.47,7.7669,-72.225,1626131130
Sibu,MY,74.61,94,96,2.26,2.3,111.8167,1626130854
Ulladulla,AU,55.87,66,43,7.63,-35.35,150.4667,1626131130
Solnechnyy,RU,72.61,88,86,3.53,50.7214,136.6319,1626131130
Vestmannaeyjar,IS,51.78,90,100,7.78,63.4427,-20.2734,1626131131
Boundiali,CI,75.83,74,72,3.89,9.5217,-6.4869,1626131131
Hobart,AU,53.22,75,20,1.99,-42.8794,147.3294,1626131131
Imeni Poliny Osipenko,RU,73.62,85,89,5.97,52.4201,136.4853,1626131132
Mezen',RU,54.91,52,74,5.64,65.8522,44.24,1626131132
Bredasdorp,ZA,46.27,78,95,19.91,-34.5322,20.0403,1626131132
Hualmay,PE,64.83,78,96,9.66,-11.0964,-77.6139,1626131132
Riyadh,SA,95.68,11,60,4.54,24.6877,46.7219,1626130942
Zelenoborskiy,RU,60.89,89,90,1.19,66.845,32.3622,1626131133
Yellowknife,CA,75.29,40,79,5.75,62.456,-114.3525,1626130862
Tautira,PF,86.02,77,20,18.05,-17.7333,-149.15,1626131133
Tuatapere,NZ,43.12,82,60,4.34,-46.1333,167.6833,1626131134
Huarmey,PE,65.43,80,88,9.73,-10.0681,-78.1522,1626131134
Elko,US,100.42,3,7,14.0,41.0002,-115.5012,1626131134
Kanye,BW,47.52,30,0,14.36,-24.9667,25.3327,1626131134
Puerto Ayora,EC,72.43,76,69,10.42,-0.7393,-90.3518,1626131135
Mackay,AU,66.69,85,83,12.06,-21.15,149.2,1626131086
Butaritari,KI,82.58,77,79,13.87,3.0707,172.7902,1626131135
Pevek,RU,41.22,84,29,3.11,69.7008,170.3133,1626131136
Kamina,CD,58.62,40,23,2.33,-8.7386,24.9906,1626131136
Saint Paul Harbor,US,54.91,82,90,12.66,57.79,-152.4072,1626131136
Lorengau,PG,84.31,74,47,13.91,-2.0226,147.2712,1626130876
Kuybysheve,UA,66.31,89,36,9.46,47.358,36.6491,1626131137
Hasaki,JP,75.6,89,100,2.98,35.7333,140.8333,1626131137
Carnarvon,AU,66.27,61,75,17.27,-24.8667,113.6333,1626131137
Hambantota,LK,79.34,81,96,19.75,6.1241,81.1185,1626131138
Tual,ID,80.46,84,30,20.83,-5.6667,132.75,1626131138
Saldanha,ZA,51.42,61,91,22.57,-33.0117,17.9442,1626131138
North Bend,US,75.24,75,90,27.63,43.4065,-124.2243,1626131139
Te Anau,NZ,37.47,88,38,0.81,-45.4167,167.7167,1626131139
Hilo,US,82.27,82,91,3.0,19.7297,-155.09,1626130924
Ardabil,IR,62.46,81,0,2.26,38.2498,48.2933,1626130864
Mahébourg,MU,67.24,68,44,17.07,-20.4081,57.7,1626131140
San Patricio,US,91.81,66,100,12.53,28.017,-97.5169,1626131140
Saint-Philippe,RE,69.39,77,42,14.45,-21.3585,55.7679,1626131140
Vila Franca do Campo,PT,66.61,75,52,11.9,37.7167,-25.4333,1626131141
Norsup,VU,81.73,72,39,7.65,-16.0667,167.3833,1626131141
Tasiilaq,GL,46.56,94,100,13.94,65.6145,-37.6368,1626131141
East London,ZA,56.77,67,84,27.34,-33.0153,27.9116,1626130897
Bitkine,TD,80.46,62,82,7.67,11.9801,18.2138,1626131142
Port Lincoln,AU,51.8,72,61,13.89,-34.7333,135.8667,1626130878
Mugur-Aksy,RU,48.67,83,15,5.44,50.35,90.5,1626131142
Lebu,CL,48.72,82,0,6.29,-37.6167,-73.65,1626131142
